CellID,SpotID,CellType
V1,S3616,Nnat
V2,S4085,Oligodendrocyte
V3,S4319,Granule
V4,S3426,Oligodendrocyte
V5,S1293,Granule
V6,S4319,Granule
V7,S1223,Granule
V8,S4533,Pvalb
V9,S4576,Granule
V10,S3231,Granule
V11,S4318,Granule
V12,S4489,Granule
V13,S3607,Granule
V14,S3765,Choroid
V15,S3608,Granule
V16,S1991,Microglia
V17,S4317,Granule
V18,S3168,Oligodendrocyte
V19,S236,Granule
V20,S4438,Granule
V21,S4381,Granule
V22,S2134,Bergmann
V23,S865,Purkinje
V24,S4720,Granule
V25,S4719,Microglia
V26,S4356,Granule
V27,S3691,Granule
V28,S4356,Granule
V29,S4379,Pvalb
V30,S931,Granule
V31,S3143,Bergmann
V32,S3610,Granule
V33,S3529,Granule
V34,S3608,Astrocyte
V35,S4436,Granule
V36,S4463,Granule
V37,S4380,Granule
V38,S4576,Granule
V39,S517,Purkinje
V40,S3057,Pvalb
V41,S240,Granule
V42,S932,Purkinje
V43,S2179,Pvalb
V44,S3142,Granule
V45,S2301,Oligodendrocyte
V46,S4381,Granule
V47,S2051,Granule
V48,S1369,Granule
V49,S1369,Pvalb
V50,S4317,Granule
V51,S3688,Granule
V52,S4187,Granule
V53,S4185,Granule
V54,S4320,Granule
V55,S4356,Granule
V56,S1990,Purkinje
V57,S3144,Pvalb
V58,S3765,Granule
V59,S3144,Granule
V60,S298,Bergmann
V61,S226,Granule
V62,S4439,Purkinje
V63,S4379,Oligodendrocyte
V64,S2387,Fibroblast
V65,S4254,Granule
V66,S3688,Granule
V67,S4535,Granule
V68,S4380,Granule
V69,S931,Granule
V70,S4380,Granule
V71,S3766,Bergmann
V72,S1157,Granule
V73,S4692,Granule
V74,S1221,Granule
V75,S3056,Granule
V76,S4320,Granule
V77,S1548,Granule
V78,S3689,Granule
V79,S4254,Granule
V80,S1677,Oligodendrocyte
V81,S1370,Granule
V82,S2309,Granule
V83,S3142,Granule
V84,S4111,Granule
V85,S2134,Oligodendrocyte
V86,S1370,Granule
V87,S2807,Pvalb
V88,S4318,Granule
V89,S4317,Granule
V90,S4536,Granule
V91,S1646,Granule
V92,S1222,Astrocyte
V93,S3530,Endothelial
V94,S4440,Bergmann
V95,S4254,Granule
V96,S4487,Granule
V97,S3610,Endothelial
V98,S4380,Granule
V99,S3688,Granule
V100,S225,Granule
V101,S4317,Pvalb
V102,S3609,Granule
V103,S3689,Granule
V104,S4535,Granule
V105,S3689,Oligodendrocyte
V106,S3609,Bergmann
V107,S4487,Granule
V108,S1369,Granule
V109,S4535,Granule
V110,S4252,Granule
V111,S1295,Granule
V112,S3228,Pvalb
V113,S4439,Granule
V114,S3057,Fibroblast
V115,S4534,Granule
V116,S4436,Granule
V117,S4318,Granule
V118,S3058,Endothelial
V119,S4379,Granule
V120,S4185,Granule
V121,S1368,Granule
V122,S3611,Granule
V123,S4665,Purkinje
V124,S3688,Granule
V125,S4462,Granule
V126,S4111,Granule
V127,S2073,Granule
V128,S4535,Granule
V129,S4255,Microglia
V130,S4272,Granule
