Values,Predict,Lable,CellType,predict_x,predict_y
V12552,S1,S1,Bergmann,6,63
V14383,S1,S2011,Bergmann,6,63
V7494,S2,S2,Granule,7,54
V13284,S2,S2,Granule,7,54
V15772,S2,S2,Fibroblast,7,54
V17136,S2,S1016,Granule,7,54
V2541,S3,S3,Purkinje,7,55
V19487,S3,S3,Microglia,7,55
V21634,S3,S1805,Microglia,7,55
V2371,S4,S4,Granule,7,56
V20186,S4,S4,Endothelial,7,56
V711,S5,S5,Granule,7,58
V15185,S5,S5,Purkinje,7,58
V21992,S6,S6,Bergmann,7,59
V8849,S7,S7,Astrocyte,7,60
V19419,S7,S7,Bergmann,7,60
V20580,S8,S8,Granule,7,64
V14964,S8,S2544,Granule,7,64
V3736,S9,S1086,Fibroblast,7,81
V3721,S10,S1107,Granule,8,52
V4634,S11,S11,Granule,8,53
V9866,S11,S11,Granule,8,53
V8734,S12,S12,Granule,8,54
V15736,S12,S12,Granule,8,54
V21476,S12,S12,Granule,8,54
V14443,S12,S12,Granule,8,54
V9100,S12,S12,Granule,8,54
V2011,S12,S12,Granule,8,54
V1505,S12,S3667,Granule,8,54
V3557,S13,S13,Microglia,8,55
V9307,S13,S13,Granule,8,55
V11961,S13,S13,Bergmann,8,55
V12327,S13,S13,Granule,8,55
V5520,S13,S13,Pvalb,8,55
V11528,S14,S14,Granule,8,56
V3349,S14,S14,Purkinje,8,56
V21521,S14,S14,Purkinje,8,56
V9370,S15,S15,Endothelial,8,57
V20370,S15,S15,Granule,8,57
V22307,S15,S15,Endothelial,8,57
V14161,S15,S2941,Granule,8,57
V3294,S16,S16,Bergmann,8,58
V16051,S16,S16,Pvalb,8,58
V15148,S16,S16,Bergmann,8,58
V4909,S17,S17,Pvalb,8,59
V8292,S17,S17,Granule,8,59
V9427,S17,S17,Bergmann,8,59
V16715,S17,S17,Bergmann,8,59
V19140,S17,S17,Bergmann,8,59
V16238,S17,S17,Bergmann,8,59
V3891,S17,S17,Fibroblast,8,59
V20352,S17,S1447,Granule,8,59
V1930,S18,S18,Purkinje,8,60
V13189,S18,S18,Granule,8,60
V17757,S18,S18,Purkinje,8,60
V3690,S18,S18,Bergmann,8,60
V12364,S19,S19,Endothelial,9,51
V342,S20,S20,Granule,9,52
V21694,S20,S20,Granule,9,52
V1649,S21,S21,Purkinje,9,53
V21454,S21,S21,Astrocyte,9,53
V802,S21,S3661,Astrocyte,9,53
V617,S22,S22,Pvalb,9,54
V18090,S22,S22,Granule,9,54
V11519,S22,S22,Granule,9,54
V2420,S22,S22,Granule,9,54
V5651,S22,S22,Fibroblast,9,54
V14285,S22,S22,Granule,9,54
V4691,S22,S22,Pvalb,9,54
V13859,S23,S23,Granule,9,55
V21107,S23,S23,Bergmann,9,55
V22501,S23,S23,Granule,9,55
V23142,S23,S23,Granule,9,55
V21204,S23,S23,Choroid,9,55
V5389,S24,S24,Bergmann,9,56
V9179,S24,S24,Bergmann,9,56
V12605,S24,S24,Granule,9,56
V7078,S24,S24,Purkinje,9,56
