SpotID,row,col
S1,2,33
S2,3,7
S3,3,10
S4,3,21
S5,3,36
S6,4,12
S7,4,19
S8,5,26
S9,5,39
S10,5,74
S11,6,22
S12,6,77
S13,7,10
S14,7,39
S15,8,23
S16,8,25
S17,8,33
S18,8,53
S19,8,54
S20,8,56
S21,8,59
S22,8,60
S23,9,9
S24,9,18
S25,9,45
S26,9,46
S27,9,52
S28,9,55
S29,9,57
S30,9,65
S31,9,86
S32,10,12
S33,10,38
S34,10,39
S35,10,40
S36,10,41
S37,10,42
S38,10,43
S39,10,44
S40,10,45
S41,10,46
S42,10,47
S43,10,48
S44,10,49
S45,10,51
S46,10,56
S47,10,58
S48,10,59
S49,10,64
S50,10,66
S51,10,67
S52,10,70
S53,10,74
S54,10,75
S55,11,16
S56,11,20
S57,11,29
S58,11,32
S59,11,34
S60,11,35
S61,11,36
S62,11,38
S63,11,39
S64,11,40
S65,11,41
S66,11,42
S67,11,43
S68,11,44
S69,11,45
S70,11,46
S71,11,47
S72,11,48
S73,11,49
S74,11,50
S75,11,51
S76,11,52
S77,11,53
S78,11,54
S79,11,55
S80,11,56
S81,11,57
S82,11,58
S83,11,59
S84,11,60
S85,11,61
S86,11,65
S87,11,66
S88,11,67
S89,11,70
S90,11,71
S91,11,72
S92,11,74
S93,11,75
S94,12,2
S95,12,34
S96,12,35
S97,12,36
S98,12,37
S99,12,38
S100,12,39
S101,12,40
S102,12,41
S103,12,42
S104,12,44
S105,12,45
S106,12,46
S107,12,47
S108,12,48
S109,12,49
S110,12,50
S111,12,51
S112,12,52
S113,12,53
S114,12,54
S115,12,55
S116,12,56
S117,12,57
S118,12,58
S119,12,60
S120,12,61
S121,12,67
S122,12,68
S123,12,71
S124,12,72
S125,12,75
S126,12,76
S127,12,80
S128,13,32
S129,13,33
S130,13,34
S131,13,36
S132,13,37
S133,13,38
S134,13,39
S135,13,40
S136,13,41
S137,13,42
S138,13,43
S139,13,44
S140,13,45
S141,13,46
S142,13,47
S143,13,48
S144,13,49
S145,13,50
S146,13,51
S147,13,52
S148,13,53
S149,13,54
S150,13,55
S151,13,56
S152,13,57
S153,13,58
S154,13,59
S155,13,60
S156,13,61
S157,13,67
S158,13,68
S159,13,70
S160,13,72
S161,13,73
S162,13,77
S163,13,79
S164,13,80
S165,13,84
S166,14,20
S167,14,28
S168,14,29
S169,14,30
S170,14,31
S171,14,32
S172,14,33
S173,14,34
S174,14,35
S175,14,36
S176,14,37
S177,14,38
S178,14,39
S179,14,40
S180,14,41
S181,14,42
S182,14,44
S183,14,45
S184,14,46
S185,14,47
S186,14,48
S187,14,49
S188,14,50
S189,14,51
S190,14,52
S191,14,53
S192,14,54
S193,14,55
S194,14,56
S195,14,57
S196,14,58
S197,14,59
S198,14,60
S199,14,61
S200,14,62
S201,14,63
S202,14,67
S203,14,68
S204,14,69
S205,14,70
S206,14,71
S207,14,72
S208,14,73
S209,14,75
S210,14,78
S211,14,81
S212,14,83
S213,14,84
S214,14,87
S215,15,28
S216,15,29
S217,15,30
S218,15,31
S219,15,32
S220,15,33
S221,15,34
S222,15,35
S223,15,36
S224,15,37
S225,15,38
S226,15,39
S227,15,40
S228,15,41
S229,15,42
S230,15,43
S231,15,44
S232,15,45
S233,15,46
S234,15,47
S235,15,48
S236,15,49
S237,15,50
S238,15,51
S239,15,52
S240,15,53
S241,15,54
S242,15,55
S243,15,56
S244,15,57
S245,15,58
S246,15,59
S247,15,60
S248,15,61
S249,15,62
S250,15,63
S251,15,64
S252,15,65
S253,15,69
S254,15,70
S255,15,72
S256,15,73
S257,15,75
S258,15,80
S259,15,81
S260,15,82
S261,15,83
S262,15,86
S263,16,16
S264,16,26
S265,16,27
S266,16,28
S267,16,29
S268,16,30
S269,16,31
S270,16,32
S271,16,33
S272,16,34
S273,16,35
S274,16,36
S275,16,37
S276,16,38
S277,16,39
S278,16,40
S279,16,41
S280,16,42
S281,16,43
S282,16,44
S283,16,45
S284,16,46
S285,16,47
S286,16,48
S287,16,49
S288,16,50
S289,16,51
S290,16,52
S291,16,53
S292,16,54
S293,16,55
S294,16,56
S295,16,57
S296,16,58
S297,16,59
S298,16,60
S299,16,61
S300,16,62
S301,16,63
S302,16,64
S303,16,65
S304,16,66
S305,16,67
S306,16,68
S307,16,69
S308,16,70
S309,16,71
S310,16,72
S311,16,73
S312,16,74
S313,16,77
S314,16,80
S315,16,81
S316,16,83
S317,16,84
S318,17,24
S319,17,25
S320,17,26
S321,17,27
S322,17,28
S323,17,29
S324,17,30
S325,17,31
S326,17,32
S327,17,33
S328,17,34
S329,17,35
S330,17,36
S331,17,37
S332,17,38
S333,17,39
S334,17,40
S335,17,41
S336,17,42
S337,17,43
S338,17,44
S339,17,45
S340,17,46
S341,17,47
S342,17,48
S343,17,49
S344,17,50
S345,17,51
S346,17,52
S347,17,53
S348,17,54
S349,17,55
S350,17,56
S351,17,57
S352,17,58
S353,17,59
S354,17,60
S355,17,61
S356,17,62
S357,17,63
S358,17,64
S359,17,65
S360,17,66
S361,17,67
S362,17,68
S363,17,69
S364,17,70
S365,17,71
S366,17,73
S367,17,74
S368,17,75
S369,17,76
S370,17,77
S371,17,78
S372,17,82
S373,17,83
S374,17,84
S375,17,86
S376,17,88
S377,17,89
S378,18,6
S379,18,24
S380,18,25
S381,18,26
S382,18,27
S383,18,28
S384,18,29
S385,18,30
S386,18,31
S387,18,32
S388,18,33
S389,18,34
S390,18,35
S391,18,36
S392,18,37
S393,18,38
S394,18,39
S395,18,40
S396,18,41
S397,18,42
S398,18,43
S399,18,44
S400,18,45
S401,18,46
S402,18,47
S403,18,48
S404,18,49
S405,18,50
S406,18,51
S407,18,52
S408,18,53
S409,18,54
S410,18,55
S411,18,56
S412,18,57
S413,18,58
S414,18,59
S415,18,60
S416,18,61
S417,18,62
S418,18,63
S419,18,64
S420,18,65
S421,18,66
S422,18,67
S423,18,68
S424,18,69
S425,18,70
S426,18,71
S427,18,73
S428,18,74
S429,18,75
S430,18,77
S431,18,78
S432,18,79
S433,18,82
S434,18,83
S435,18,84
S436,18,86
S437,18,88
S438,19,15
S439,19,22
S440,19,23
S441,19,24
S442,19,25
S443,19,26
S444,19,27
S445,19,28
S446,19,29
S447,19,30
S448,19,31
S449,19,32
S450,19,33
S451,19,34
S452,19,35
S453,19,36
S454,19,37
S455,19,38
S456,19,39
S457,19,40
S458,19,41
S459,19,42
S460,19,43
S461,19,44
S462,19,45
S463,19,46
S464,19,47
S465,19,48
S466,19,49
S467,19,50
S468,19,51
S469,19,52
S470,19,53
S471,19,54
S472,19,55
S473,19,56
S474,19,57
S475,19,58
S476,19,59
S477,19,60
S478,19,61
S479,19,62
S480,19,63
S481,19,64
S482,19,65
S483,19,66
S484,19,67
S485,19,68
S486,19,69
S487,19,70
S488,19,71
S489,19,74
S490,19,75
S491,19,76
S492,19,78
S493,19,79
S494,19,80
S495,19,83
S496,19,84
S497,19,88
S498,20,22
S499,20,23
S500,20,24
S501,20,25
S502,20,26
S503,20,27
S504,20,28
S505,20,29
S506,20,30
S507,20,31
S508,20,32
S509,20,33
S510,20,34
S511,20,35
S512,20,36
S513,20,37
S514,20,38
S515,20,39
S516,20,40
S517,20,41
S518,20,42
S519,20,43
S520,20,44
S521,20,45
S522,20,46
S523,20,47
S524,20,48
S525,20,49
S526,20,50
S527,20,51
S528,20,52
S529,20,53
S530,20,54
S531,20,55
S532,20,56
S533,20,57
S534,20,58
S535,20,59
S536,20,60
S537,20,61
S538,20,62
S539,20,63
S540,20,64
S541,20,65
S542,20,66
S543,20,67
S544,20,68
S545,20,69
S546,20,70
S547,20,71
S548,20,72
S549,20,76
S550,20,78
S551,20,79
S552,20,87
S553,20,88
S554,21,21
S555,21,22
S556,21,23
S557,21,24
S558,21,25
S559,21,26
S560,21,27
S561,21,28
S562,21,29
S563,21,30
S564,21,31
S565,21,32
S566,21,33
S567,21,34
S568,21,35
S569,21,36
S570,21,37
S571,21,38
S572,21,39
S573,21,40
S574,21,41
S575,21,42
S576,21,43
S577,21,44
S578,21,45
S579,21,46
S580,21,47
S581,21,48
S582,21,49
S583,21,50
S584,21,51
S585,21,52
S586,21,53
S587,21,54
S588,21,55
S589,21,56
S590,21,57
S591,21,58
S592,21,59
S593,21,60
S594,21,61
S595,21,62
S596,21,63
S597,21,64
S598,21,65
S599,21,66
S600,21,67
S601,21,68
S602,21,69
S603,21,70
S604,21,71
S605,21,72
S606,21,73
S607,21,77
S608,21,78
S609,21,79
S610,21,80
S611,21,83
S612,21,87
S613,21,89
S614,22,20
S615,22,21
S616,22,22
S617,22,23
S618,22,24
S619,22,25
S620,22,26
S621,22,27
S622,22,28
S623,22,29
S624,22,30
S625,22,31
S626,22,32
S627,22,33
S628,22,34
S629,22,35
S630,22,36
S631,22,37
S632,22,38
S633,22,39
S634,22,40
S635,22,41
S636,22,42
S637,22,43
S638,22,44
S639,22,45
S640,22,46
S641,22,47
S642,22,48
S643,22,49
S644,22,50
S645,22,51
S646,22,52
S647,22,53
S648,22,54
S649,22,55
S650,22,56
S651,22,57
S652,22,58
S653,22,59
S654,22,60
S655,22,61
S656,22,62
S657,22,63
S658,22,64
S659,22,65
S660,22,66
S661,22,67
S662,22,68
S663,22,69
S664,22,70
S665,22,71
S666,22,72
S667,22,73
S668,22,78
S669,22,79
S670,22,80
S671,22,83
S672,22,84
S673,22,86
S674,22,87
S675,22,88
S676,23,19
S677,23,20
S678,23,21
S679,23,22
S680,23,23
S681,23,24
S682,23,25
S683,23,26
S684,23,27
S685,23,28
S686,23,29
S687,23,30
S688,23,31
S689,23,32
S690,23,33
S691,23,34
S692,23,35
S693,23,36
S694,23,37
S695,23,38
S696,23,39
S697,23,40
S698,23,41
S699,23,42
S700,23,43
S701,23,44
S702,23,45
S703,23,46
S704,23,47
S705,23,48
S706,23,49
S707,23,50
S708,23,51
S709,23,52
S710,23,53
S711,23,54
S712,23,55
S713,23,56
S714,23,57
S715,23,58
S716,23,59
S717,23,60
S718,23,61
S719,23,62
S720,23,63
S721,23,64
S722,23,65
S723,23,66
S724,23,67
S725,23,68
S726,23,69
S727,23,70
S728,23,71
S729,23,72
S730,23,73
S731,23,74
S732,23,80
S733,23,83
S734,23,84
S735,23,85
S736,23,86
S737,23,88
S738,24,16
S739,24,18
S740,24,19
S741,24,20
S742,24,21
S743,24,22
S744,24,23
S745,24,24
S746,24,25
S747,24,26
S748,24,27
S749,24,28
S750,24,29
S751,24,30
S752,24,31
S753,24,32
S754,24,33
S755,24,34
S756,24,35
S757,24,36
S758,24,37
S759,24,38
S760,24,39
S761,24,40
S762,24,41
S763,24,42
S764,24,43
S765,24,44
S766,24,45
S767,24,46
S768,24,47
S769,24,48
S770,24,49
S771,24,50
S772,24,51
S773,24,52
S774,24,53
S775,24,54
S776,24,55
S777,24,56
S778,24,57
S779,24,58
S780,24,59
S781,24,60
S782,24,61
S783,24,62
S784,24,63
S785,24,64
S786,24,65
S787,24,66
S788,24,67
S789,24,68
S790,24,69
S791,24,70
S792,24,71
S793,24,72
S794,24,73
S795,24,74
S796,24,75
S797,24,76
S798,24,80
S799,24,81
S800,24,86
S801,24,88
S802,24,89
S803,25,17
S804,25,18
S805,25,19
S806,25,20
S807,25,21
S808,25,22
S809,25,23
S810,25,24
S811,25,25
S812,25,26
S813,25,27
S814,25,28
S815,25,29
S816,25,30
S817,25,32
S818,25,33
S819,25,34
S820,25,35
S821,25,36
S822,25,37
S823,25,38
S824,25,39
S825,25,40
S826,25,41
S827,25,42
S828,25,43
S829,25,44
S830,25,45
S831,25,46
S832,25,47
S833,25,48
S834,25,49
S835,25,50
S836,25,51
S837,25,52
S838,25,53
S839,25,54
S840,25,55
S841,25,56
S842,25,57
S843,25,58
S844,25,59
S845,25,60
S846,25,61
S847,25,62
S848,25,63
S849,25,64
S850,25,65
S851,25,66
S852,25,67
S853,25,68
S854,25,69
S855,25,70
S856,25,71
S857,25,72
S858,25,73
S859,25,74
S860,25,75
S861,25,76
S862,25,80
S863,25,81
S864,25,82
S865,25,83
S866,25,86
S867,25,87
S868,25,88
S869,25,89
S870,26,17
S871,26,18
S872,26,19
S873,26,20
S874,26,21
S875,26,22
S876,26,23
S877,26,24
S878,26,25
S879,26,26
S880,26,27
S881,26,28
S882,26,29
S883,26,30
S884,26,31
S885,26,32
S886,26,33
S887,26,34
S888,26,35
S889,26,36
S890,26,37
S891,26,38
S892,26,39
S893,26,40
S894,26,41
S895,26,42
S896,26,43
S897,26,44
S898,26,45
S899,26,46
S900,26,47
S901,26,48
S902,26,49
S903,26,50
S904,26,51
S905,26,52
S906,26,53
S907,26,54
S908,26,55
S909,26,56
S910,26,57
S911,26,58
S912,26,59
S913,26,60
S914,26,61
S915,26,62
S916,26,63
S917,26,64
S918,26,65
S919,26,66
S920,26,67
S921,26,68
S922,26,69
S923,26,70
S924,26,71
S925,26,72
S926,26,73
S927,26,74
S928,26,75
S929,26,76
S930,26,77
S931,26,80
S932,26,82
S933,26,84
S934,26,85
S935,26,86
S936,26,87
S937,26,88
S938,26,89
S939,27,16
S940,27,17
S941,27,18
S942,27,19
S943,27,20
S944,27,21
S945,27,22
S946,27,23
S947,27,24
S948,27,25
S949,27,26
S950,27,27
S951,27,28
S952,27,29
S953,27,30
S954,27,31
S955,27,32
S956,27,33
S957,27,34
S958,27,35
S959,27,36
S960,27,37
S961,27,38
S962,27,39
S963,27,40
S964,27,41
S965,27,42
S966,27,43
S967,27,44
S968,27,45
S969,27,46
S970,27,47
S971,27,48
S972,27,49
S973,27,50
S974,27,51
S975,27,52
S976,27,53
S977,27,54
S978,27,55
S979,27,56
S980,27,57
S981,27,58
S982,27,59
S983,27,60
S984,27,61
S985,27,62
S986,27,63
S987,27,64
S988,27,65
S989,27,66
S990,27,67
S991,27,68
S992,27,69
S993,27,70
S994,27,71
S995,27,72
S996,27,73
S997,27,74
S998,27,75
S999,27,76
S1000,27,77
S1001,27,78
S1002,27,79
S1003,27,82
S1004,27,83
S1005,27,85
S1006,27,86
S1007,27,88
S1008,27,89
S1009,28,15
S1010,28,16
S1011,28,17
S1012,28,18
S1013,28,19
S1014,28,20
S1015,28,21
S1016,28,22
S1017,28,23
S1018,28,24
S1019,28,25
S1020,28,26
S1021,28,27
S1022,28,28
S1023,28,29
S1024,28,30
S1025,28,31
S1026,28,32
S1027,28,33
S1028,28,34
S1029,28,35
S1030,28,36
S1031,28,37
S1032,28,38
S1033,28,39
S1034,28,40
S1035,28,41
S1036,28,42
S1037,28,43
S1038,28,44
S1039,28,45
S1040,28,46
S1041,28,47
S1042,28,48
S1043,28,49
S1044,28,50
S1045,28,51
S1046,28,52
S1047,28,53
S1048,28,54
S1049,28,55
S1050,28,56
S1051,28,57
S1052,28,58
S1053,28,59
S1054,28,60
S1055,28,61
S1056,28,62
S1057,28,63
S1058,28,64
S1059,28,65
S1060,28,66
S1061,28,67
S1062,28,68
S1063,28,69
S1064,28,70
S1065,28,71
S1066,28,72
S1067,28,73
S1068,28,74
S1069,28,75
S1070,28,76
S1071,28,77
S1072,28,78
S1073,28,81
S1074,28,83
S1075,28,85
S1076,28,86
S1077,28,87
S1078,28,89
S1079,29,15
S1080,29,16
S1081,29,17
S1082,29,18
S1083,29,19
S1084,29,20
S1085,29,21
S1086,29,22
S1087,29,23
S1088,29,24
S1089,29,25
S1090,29,26
S1091,29,27
S1092,29,28
S1093,29,29
S1094,29,30
S1095,29,31
S1096,29,32
S1097,29,33
S1098,29,34
S1099,29,35
S1100,29,36
S1101,29,37
S1102,29,38
S1103,29,39
S1104,29,40
S1105,29,41
S1106,29,42
S1107,29,43
S1108,29,44
S1109,29,45
S1110,29,46
S1111,29,47
S1112,29,48
S1113,29,49
S1114,29,50
S1115,29,51
S1116,29,52
S1117,29,53
S1118,29,54
S1119,29,55
S1120,29,56
S1121,29,57
S1122,29,58
S1123,29,59
S1124,29,60
S1125,29,61
S1126,29,62
S1127,29,63
S1128,29,64
S1129,29,65
S1130,29,66
S1131,29,67
S1132,29,68
S1133,29,69
S1134,29,70
S1135,29,71
S1136,29,72
S1137,29,73
S1138,29,74
S1139,29,75
S1140,29,76
S1141,29,77
S1142,29,78
S1143,29,87
S1144,30,15
S1145,30,16
S1146,30,17
S1147,30,18
S1148,30,19
S1149,30,20
S1150,30,21
S1151,30,22
S1152,30,23
S1153,30,24
S1154,30,25
S1155,30,26
S1156,30,27
S1157,30,28
S1158,30,29
S1159,30,30
S1160,30,31
S1161,30,32
S1162,30,33
S1163,30,34
S1164,30,35
S1165,30,36
S1166,30,37
S1167,30,38
S1168,30,39
S1169,30,40
S1170,30,41
S1171,30,42
S1172,30,43
S1173,30,44
S1174,30,45
S1175,30,46
S1176,30,47
S1177,30,48
S1178,30,49
S1179,30,50
S1180,30,51
S1181,30,52
S1182,30,53
S1183,30,54
S1184,30,55
S1185,30,56
S1186,30,57
S1187,30,58
S1188,30,59
S1189,30,60
S1190,30,61
S1191,30,62
S1192,30,63
S1193,30,64
S1194,30,65
S1195,30,66
S1196,30,67
S1197,30,68
S1198,30,69
S1199,30,70
S1200,30,71
S1201,30,72
S1202,30,73
S1203,30,74
S1204,30,75
S1205,30,76
S1206,30,77
S1207,30,78
S1208,30,79
S1209,30,83
S1210,30,85
S1211,30,86
S1212,31,13
S1213,31,14
S1214,31,15
S1215,31,16
S1216,31,17
S1217,31,18
S1218,31,19
S1219,31,20
S1220,31,21
S1221,31,22
S1222,31,23
S1223,31,24
S1224,31,25
S1225,31,26
S1226,31,27
S1227,31,28
S1228,31,29
S1229,31,30
S1230,31,31
S1231,31,32
S1232,31,33
S1233,31,34
S1234,31,35
S1235,31,36
S1236,31,37
S1237,31,38
S1238,31,39
S1239,31,40
S1240,31,41
S1241,31,42
S1242,31,43
S1243,31,44
S1244,31,45
S1245,31,46
S1246,31,47
S1247,31,48
S1248,31,49
S1249,31,50
S1250,31,51
S1251,31,52
S1252,31,53
S1253,31,54
S1254,31,55
S1255,31,56
S1256,31,57
S1257,31,58
S1258,31,59
S1259,31,60
S1260,31,61
S1261,31,62
S1262,31,63
S1263,31,64
S1264,31,65
S1265,31,66
S1266,31,67
S1267,31,68
S1268,31,69
S1269,31,70
S1270,31,71
S1271,31,72
S1272,31,73
S1273,31,74
S1274,31,75
S1275,31,76
S1276,31,77
S1277,31,78
S1278,31,79
S1279,31,80
S1280,31,83
S1281,31,84
S1282,31,85
S1283,31,89
S1284,32,13
S1285,32,14
S1286,32,15
S1287,32,16
S1288,32,17
S1289,32,18
S1290,32,19
S1291,32,20
S1292,32,21
S1293,32,22
S1294,32,23
S1295,32,24
