CellID,SpotID,CellType
V1,S2223,Cajal Retzius
V2,S2323,Cajal Retzius
V3,S1800,Dentate
V4,S1664,Cajal Retzius
V5,S2100,Polydendrocyte
V6,S3973,Cajal Retzius
V7,S988,Sic17ab
V8,S3437,Choroid
V9,S4366,Cajal Retzius
V10,S3453,Astrocyte
V11,S3402,Ependyma
V12,S1551,Dentate
V13,S4205,Cajal Retzius
V14,S4096,Cajal Retzius
V15,S3808,Fibroblast
V16,S2086,Sic17ab
V17,S2496,Polydendrocyte
V18,S224,Cajal Retzius
V19,S743,CA1
V20,S3922,Neurogenesis
V21,S2157,Cajal Retzius
V22,S2276,Neurogenesis
V23,S3572,Cajal Retzius
V24,S3175,Neurogenesis
V25,S2897,Ependyma
V26,S3927,Choroid
V27,S3029,Dentate
V28,S3632,Choroid
V29,S454,Cajal Retzius
V30,S2989,Astrocyte
V31,S2188,Cajal Retzius
V32,S4227,Cajal Retzius
V33,S3208,Dentate
V34,S3167,Dentate
V35,S2751,Ependyma
V36,S1411,Ependyma
V37,S4182,Cajal Retzius
V38,S3918,Cajal Retzius
V39,S3636,Choroid
V40,S833,Microglia
V41,S686,Cajal Retzius
V42,S961,Astrocyte
V43,S4121,Cajal Retzius
V44,S3002,Polydendrocyte
V45,S1484,Dentate
V46,S1175,Neurogenesis
V47,S2517,Neurogenesis
V48,S2386,Neurogenesis
V49,S2418,Ependyma
V50,S1059,Cajal Retzius
V51,S2233,Dentate
V52,S2570,Polydendrocyte
V53,S3235,Cajal Retzius
V54,S619,Gad2
V55,S3382,Dentate
V56,S2256,Cajal Retzius
V57,S3829,Choroid
V58,S3156,Neurogenesis
V59,S4412,Microglia
V60,S2814,Cajal Retzius
V61,S1809,Astrocyte
V62,S2518,Neurogenesis
V63,S4521,Astrocyte
V64,S2110,Polydendrocyte
V65,S1424,Ependyma
V66,S4268,Cajal Retzius
V67,S3145,Polydendrocyte
V68,S1159,Cajal Retzius
V69,S505,Gad2
V70,S2036,Astrocyte
V71,S4213,Astrocyte
V72,S2104,Microglia
V73,S36,Sic17ab
V74,S2532,Dentate
V75,S3660,Cajal Retzius
V76,S3690,Dentate
V77,S509,Cajal Retzius
V78,S1671,Sic17ab
V79,S3824,Ependyma
V80,S3681,Endothelial
V81,S2982,Polydendrocyte
V82,S2803,Sic17ab
V83,S883,Microglia
V84,S2618,Cajal Retzius
V85,S3730,Endothelial
V86,S3158,Microglia
V87,S1159,Neurogenesis
V88,S3018,Cajal Retzius
V89,S3436,Choroid
V90,S4385,Ependyma
V91,S4034,Dentate
V92,S877,Neurogenesis
V93,S1048,Ependyma
V94,S3766,Cajal Retzius
V95,S4080,Oligodendrocyte
V96,S3377,Dentate
V97,S3361,CA1
V98,S1863,Neurogenesis
V99,S1861,Cajal Retzius
V100,S1058,Entorhinal
V101,S4565,Cajal Retzius
V102,S1991,Cajal Retzius
V103,S598,Entorhinal
V104,S1689,Dentate
V105,S3270,Cajal Retzius
V106,S947,Sic17ab
V107,S4292,Cajal Retzius
V108,S2699,Choroid
V109,S3401,Astrocyte
V110,S3248,Astrocyte
V111,S1083,Sic17ab
V112,S3077,Ependyma
V113,S1808,Polydendrocyte
V114,S3899,Neurogenesis
V115,S3692,Dentate
V116,S472,Dentate
V117,S2604,Endothelial
V118,S3987,Cajal Retzius
V119,S2958,Dentate
V120,S2941,Neurogenesis
V121,S1711,Ependyma
V122,S1096,Cajal Retzius
V123,S2557,Polydendrocyte
V124,S4316,Neurogenesis
V125,S1623,Dentate
V126,S3098,Cajal Retzius
V127,S382,Cajal Retzius
V128,S2021,Neurogenesis
V129,S1990,Polydendrocyte
V130,S3720,Cajal Retzius
V131,S3681,Microglia
V132,S1293,Cajal Retzius
V133,S4380,Cajal Retzius
V134,S1017,Sic17ab
V135,S1129,Cajal Retzius
V136,S1880,Microglia
V137,S856,Dentate
V138,S750,Polydendrocyte
V139,S2588,Astrocyte
V140,S3171,Cajal Retzius
V141,S2180,Polydendrocyte
V142,S473,Cajal Retzius
V143,S473,Entorhinal
V144,S4037,Sic17ab
V145,S4335,Endothelial
V146,S2234,Sic17ab
V147,S2102,Cajal Retzius
V148,S2181,Cajal Retzius
V149,S1136,Ependyma
V150,S3832,Cajal Retzius
V151,S625,Cajal Retzius
V152,S4203,Dentate
V153,S885,Cajal Retzius
V154,S2841,Neurogenesis
V155,S4134,Neurogenesis
V156,S3269,Cajal Retzius
V157,S2532,Astrocyte
V158,S620,Cajal Retzius
V159,S1571,Ependyma
V160,S1954,Cajal Retzius
V161,S4222,Cajal Retzius
V162,S440,Cajal Retzius
V163,S2851,Microglia
V164,S3176,Microglia
V165,S3324,Endothelial
V166,S1471,Dentate
V167,S86,Cajal Retzius
V168,S3094,Astrocyte
V169,S1881,Cajal Retzius
V170,S2716,Ependyma
V171,S65,Cajal Retzius
V172,S1835,Dentate
V173,S4533,Neurogenesis
V174,S2449,Neurogenesis
V175,S635,Cajal Retzius
V176,S2855,Endothelial
V177,S1859,Sic17ab
V178,S545,CA2CA3
V179,S1247,Dentate
V180,S3130,CA1
V181,S1367,Dentate
V182,S2150,Dentate
V183,S3992,Dentate
V184,S1179,Polydendrocyte
V185,S2893,Cajal Retzius
V186,S3845,Cajal Retzius
V187,S1808,Astrocyte
V188,S1714,Dentate
V189,S1086,Sic17ab
V190,S1908,Neurogenesis
V191,S2840,Ependyma
V192,S3653,Dentate
V193,S2540,Sic17ab
V194,S951,Ependyma
V195,S1349,Neurogenesis
V196,S2453,Neurogenesis
V197,S2550,Mural
V198,S4536,Cajal Retzius
V199,S2802,Neurogenesis
V200,S4098,Polydendrocyte
V201,S1139,Ependyma
V202,S2374,Cajal Retzius
V203,S4359,Dentate
V204,S4650,Astrocyte
V205,S2407,Gad2
V206,S4026,Cajal Retzius
V207,S2999,Polydendrocyte
V208,S1796,Dentate
V209,S501,Sic17ab
V210,S4037,Dentate
V211,S2085,Cajal Retzius
V212,S4210,Cajal Retzius
V213,S3946,Astrocyte
V214,S2906,Cajal Retzius
V215,S148,Cajal Retzius
V216,S4127,Ependyma
V217,S461,Cajal Retzius
V218,S652,Dentate
V219,S1580,Cajal Retzius
V220,S4486,Cajal Retzius
V221,S4468,Cajal Retzius
V222,S4435,Cajal Retzius
V223,S4131,Entorhinal
V224,S1309,Sic17ab
V225,S2026,Sic17ab
V226,S3953,Cajal Retzius
V227,S515,Sic17ab
V228,S3480,Dentate
V229,S3662,Entorhinal
V230,S1741,Astrocyte
V231,S1397,Neurogenesis
V232,S4133,Microglia
V233,S3429,Sic17ab
V234,S2666,Microglia
V235,S4040,Cajal Retzius
V236,S3907,Ependyma
V237,S3791,Cajal Retzius
V238,S4158,Dentate
V239,S2300,Astrocyte
V240,S3878,Fibroblast
V241,S979,Cajal Retzius
V242,S300,Sic17ab
V243,S2397,Fibroblast
V244,S2013,Cajal Retzius
V245,S2400,Cajal Retzius
V246,S2778,Cajal Retzius
V247,S2872,Dentate
V248,S3704,Cajal Retzius
V249,S2773,Ependyma
V250,S1035,Neurogenesis
V251,S3246,Dentate
V252,S2198,Dentate
V253,S1464,Polydendrocyte
V254,S1288,Sic17ab
V255,S386,Cajal Retzius
V256,S1193,Neurogenesis
V257,S675,Neurogenesis
V258,S2208,Microglia
V259,S4180,Cajal Retzius
V260,S994,Cajal Retzius
V261,S2500,Microglia
V262,S747,Dentate
V263,S3017,Microglia
V264,S81,Cajal Retzius
V265,S1858,Ependyma
V266,S2830,Entorhinal
V267,S1363,Astrocyte
V268,S3436,Choroid
V269,S7,Cajal Retzius
V270,S4135,Entorhinal
V271,S270,Cajal Retzius
V272,S1709,Dentate
V273,S1930,Dentate
V274,S3869,Neurogenesis
V275,S2188,Polydendrocyte
V276,S3549,Ependyma
V277,S1421,Astrocyte
V278,S1519,Cajal Retzius
V279,S4059,Cajal Retzius
V280,S1769,Cajal Retzius
V281,S2503,Neurogenesis
V282,S2765,Microglia
V283,S337,Cajal Retzius
V284,S2239,Cajal Retzius
V285,S1855,Dentate
V286,S2245,Polydendrocyte
V287,S3034,Microglia
V288,S2269,Microglia
V289,S3383,Astrocyte
V290,S3028,Dentate
V291,S2220,Dentate
V292,S1407,Astrocyte
V293,S1480,Astrocyte
V294,S3529,Entorhinal
V295,S3085,Astrocyte
V296,S3008,Microglia
V297,S3375,Neurogenesis
V298,S2654,Entorhinal
V299,S3964,Cajal Retzius
V300,S2257,Sic17ab
V301,S858,CA2CA3
V302,S4230,Endothelial
V303,S3683,Microglia
V304,S2052,Astrocyte
V305,S4026,Cajal Retzius
V306,S1543,Astrocyte
V307,S2139,Dentate
V308,S3166,Dentate
V309,S4284,Neurogenesis
V310,S3025,Entorhinal
V311,S1868,Oligodendrocyte
V312,S2245,Astrocyte
V313,S1851,Cajal Retzius
V314,S1922,Dentate
V315,S1454,Dentate
V316,S2530,Astrocyte
V317,S3823,Choroid
V318,S2315,Entorhinal
V319,S2756,Dentate
V320,S1589,Cajal Retzius
V321,S3072,Cajal Retzius
V322,S1429,Polydendrocyte
V323,S858,Dentate
V324,S3944,Cajal Retzius
V325,S4154,Sic17ab
V326,S4262,Cajal Retzius
V327,S4327,Cajal Retzius
V328,S1869,Neurogenesis
V329,S556,Sic17ab
V330,S3760,Choroid
V331,S2965,Sic17ab
V332,S1653,Dentate
V333,S583,Gad2
V334,S3183,Cajal Retzius
V335,S4485,Dentate
V336,S1681,Microglia
V337,S1377,Microglia
V338,S4028,Cajal Retzius
V339,S3373,Cajal Retzius
V340,S1136,Neurogenesis
V341,S1940,Gad2
V342,S2522,Cajal Retzius
V343,S989,Dentate
V344,S414,Dentate
V345,S2145,Dentate
V346,S3955,Cajal Retzius
V347,S536,Ependyma
V348,S3705,Cajal Retzius
V349,S3402,Ependyma
V350,S1195,Dentate
V351,S1415,Cajal Retzius
V352,S1933,Dentate
V353,S446,Entorhinal
V354,S71,Cajal Retzius
V355,S3098,Cajal Retzius
V356,S526,Cajal Retzius
V357,S2320,Cajal Retzius
V358,S4123,Dentate
V359,S1674,Cajal Retzius
V360,S1513,Neurogenesis
V361,S2897,Neurogenesis
V362,S214,Cajal Retzius
V363,S3018,Microglia
V364,S3076,Oligodendrocyte
V365,S546,Neurogenesis
V366,S1378,Dentate
