Values,Predict,Lable,CellType,predict_x,predict_y
V10882,S1,S1,Microglia,2,33
V552,S2,S2,Cajal Retzius,3,7
V864,S3,S3,Polydendrocyte,3,10
V21370,S3,S3,Entorhinal,3,10
V18482,S3,S1766,Polydendrocyte,3,10
V22837,S4,S4,Sic17ab,3,21
V4976,S4,S4084,Sic17ab,3,21
V22493,S5,S5,Sic17ab,3,36
V1666,S6,S6,Cajal Retzius,4,12
V20217,S6,S2898,Cajal Retzius,4,12
V269,S7,S7,Cajal Retzius,4,19
V6454,S7,S7,Cajal Retzius,4,19
V237,S7,S3791,Cajal Retzius,4,19
V11052,S8,S8,Dentate,5,26
V19651,S8,S4188,Dentate,5,26
V16732,S9,S9,Cajal Retzius,5,39
V14744,S9,S563,Cajal Retzius,5,39
V15178,S10,S10,Cajal Retzius,5,74
V7409,S11,S11,Gad2,6,22
V12311,S11,S207,Gad2,6,22
V17746,S11,S4103,Gad2,6,22
V10802,S11,S339,Gad2,6,22
V6528,S12,S12,Ependyma,6,77
V11405,S13,S13,Cajal Retzius,7,10
V19295,S14,S14,Cajal Retzius,7,39
V9999,S14,S4276,Cajal Retzius,7,39
V9237,S15,S15,Cajal Retzius,8,23
V5119,S15,S1458,Cajal Retzius,8,23
V321,S15,S3072,Cajal Retzius,8,23
V7560,S16,S16,Gad2,8,25
V7366,S16,S16,Cajal Retzius,8,25
V20147,S16,S4059,Gad2,8,25
V13455,S16,S4097,Gad2,8,25
V20868,S16,S690,Gad2,8,25
V13602,S16,S3591,Gad2,8,25
V3683,S17,S17,Cajal Retzius,8,33
V15010,S18,S18,Entorhinal,8,53
V15639,S18,S18,Gad2,8,53
V16752,S19,S19,Sic17ab,8,54
V12920,S19,S1237,Sic17ab,8,54
V2895,S20,S20,Microglia,8,56
V4983,S20,S20,Cajal Retzius,8,56
V1893,S21,S21,Cajal Retzius,8,59
V6597,S22,S22,Cajal Retzius,8,60
V14446,S23,S23,Neurogenesis,9,9
V18624,S23,S23,Cajal Retzius,9,9
V22539,S23,S2394,Cajal Retzius,9,9
V13274,S23,S2068,Cajal Retzius,9,9
V17795,S24,S24,Cajal Retzius,9,18
V17777,S24,S2761,Cajal Retzius,9,18
V5563,S25,S25,Fibroblast,9,45
V10006,S26,S26,Cajal Retzius,9,46
V13385,S26,S151,Cajal Retzius,9,46
V3033,S26,S3953,Cajal Retzius,9,46
V15832,S27,S27,Cajal Retzius,9,52
V12413,S27,S4476,Cajal Retzius,9,52
V8914,S27,S3282,Cajal Retzius,9,52
V1094,S28,S28,Gad2,9,55
V10899,S28,S28,Neurogenesis,9,55
V14872,S29,S29,Neurogenesis,9,57
V1886,S30,S30,Sic17ab,9,65
